Sum of sumAttention,Column Labels,,,,,
Row Labels,baseline_never,cbaseline_avgCertainty,correct200_always,correct200_avgCertainty,correct200_unfamiliarNN1,Grand Total
390,0,4652.633333,61785.66667,134391.2333,91372.86667,292202.4
400,0,4652.633333,61785.66667,135875.0333,91515.73333,293829.0667
410,0,4652.633333,61785.66667,137342.8,91526.3,295307.4
420,0,4652.633333,61785.66667,139123.6,91526.3,297088.2
430,0,4652.633333,61785.66667,140741.3,91526.3,298705.9
440,0,4652.633333,61785.66667,142440.7,91526.3,300405.3
450,0,4652.633333,61785.66667,144049.8333,91526.3,302014.4333
460,0,4652.633333,61785.66667,145590.6333,91526.3,303555.2333
470,0,4652.633333,61785.66667,147037.2333,91526.3,305001.8333
480,0,4652.633333,61785.66667,148505.6667,91526.3,306470.2667
490,0,4652.633333,61785.66667,149993.1667,91526.3,307957.7667
500,0,4652.633333,61785.66667,151461.3667,91526.3,309425.9667
510,0,4652.633333,61785.66667,152893.1667,91526.3,310857.7667
520,0,4652.633333,61785.66667,154161,91526.3,312125.6
530,0,4652.633333,61785.66667,155765.9,91526.3,313730.5
540,0,4652.633333,61785.66667,157242.9333,91526.3,315207.5333
550,0,4652.633333,61785.66667,158717.6667,91526.3,316682.2667
560,0,4652.633333,61785.66667,160204.7667,91526.3,318169.3667
570,0,4652.633333,61785.66667,161692.1667,91526.3,319656.7667
580,0,4652.633333,61785.66667,163115.2667,91526.3,321079.8667
590,0,4652.633333,61785.66667,164678.7,91526.3,322643.3
600,0,4652.633333,61785.66667,166259.1667,91526.3,324223.7667
610,0,4652.633333,61785.66667,167629.8333,91526.3,325594.4333
620,0,4652.633333,61785.66667,168833.9,91526.3,326798.5
630,0,4652.633333,61785.66667,170038.1667,91526.3,328002.7667
640,0,4652.633333,61785.66667,171361.7,91526.3,329326.3
650,0,4652.633333,61785.66667,172593.1,91526.3,330557.7
660,0,4652.633333,61785.66667,173786,91526.3,331750.6
670,0,4652.633333,61785.66667,175141.5,91526.3,333106.1
680,0,4652.633333,61785.66667,176425.2667,91526.3,334389.8667
690,0,4652.633333,61785.66667,177671.2,91526.3,335635.8
700,0,4652.633333,61785.66667,178927.7667,91526.3,336892.3667
710,0,4652.633333,61785.66667,180038.3,91526.3,338002.9
720,0,4652.633333,61785.66667,181208.6667,91526.3,339173.2667
730,0,4652.633333,61785.66667,182484.3333,91526.3,340448.9333
740,0,4652.633333,61785.66667,183576.8333,91526.3,341541.4333
750,0,4652.633333,61785.66667,184798.2667,91526.3,342762.8667
760,0,4652.633333,61785.66667,185904.9333,91526.3,343869.5333
770,0,4652.633333,61785.66667,187172.5667,91526.3,345137.1667
780,0,4652.633333,61785.66667,188483.1667,91526.3,346447.7667
790,0,4652.633333,61785.66667,189754.7333,91526.3,347719.3333
800,0,4652.633333,61785.66667,190871.5,91526.3,348836.1
810,0,4652.633333,61785.66667,192063.7333,91526.3,350028.3333
820,0,4652.633333,61785.66667,193239.3333,91526.3,351203.9333
830,0,4652.633333,61785.66667,194477.3,91526.3,352441.9
840,0,4652.633333,61785.66667,195651.6,91526.3,353616.2
850,0,4652.633333,61785.66667,196798.2,91526.3,354762.8
860,0,4652.633333,61785.66667,198018.0667,91526.3,355982.6667
870,0,4652.633333,61785.66667,199216.1333,91526.3,357180.7333
880,0,4652.633333,61785.66667,200421.3667,91526.3,358385.9667
890,0,4652.633333,61785.66667,201687.9667,91526.3,359652.5667
900,0,4652.633333,61785.66667,202894.8333,91526.3,360859.4333
910,0,4652.633333,61785.66667,204192.7333,91526.3,362157.3333
920,0,4652.633333,61785.66667,205335.9667,91526.3,363300.5667
930,0,4652.633333,61785.66667,206519.5333,91526.3,364484.1333
940,0,4652.633333,61785.66667,207856.9,91526.3,365821.5
950,0,4652.633333,61785.66667,208993.8333,91526.3,366958.4333
960,0,4652.633333,61785.66667,210094.7667,91526.3,368059.3667
970,0,4652.633333,61785.66667,211127.7333,91526.3,369092.3333
980,0,4652.633333,61785.66667,212214.9333,91526.3,370179.5333
990,0,4652.633333,61785.66667,213368.5,91526.3,371333.1
1000,0,4652.633333,61785.66667,214348.8333,91526.3,372313.4333
Grand Total,0,464670.4,6023137.9,13920544.97,7894209.267,28302562.53
