Sum of reward,Column Labels,,,,,,
Row Labels,advise200_unfamiliarNN5_true,advise200_unfamiliarNN7_true,baseline_never,correct200_always,correct200_avgCertainty_true,correct200_unfamiliarNN5_true,Grand Total
620,3131.422222,3248.844444,1357.988889,3650.461111,3743.05,2231.838889,17363.60556
630,3187,3172.15,1369.794444,3774.705556,3733.288889,2212.661111,17449.6
640,3152.711111,3323.538889,1381.716667,3660.288889,3683.011111,2226.338889,17427.60556
650,3093.833333,3242.394444,1391.605556,3763.638889,3709.95,2229.583333,17431.00556
660,3147.655556,3312.461111,1348.377778,3729.172222,3760.072222,2249.855556,17547.59444
670,3146.188889,3252.711111,1366.45,3731.1,3636.727778,2261.416667,17394.59444
680,3359.816667,3282.683333,1353.85,3768.688889,3774.95,2254.316667,17794.30556
690,3215.677778,3270.305556,1359.983333,3703.461111,3697.65,2297.033333,17544.11111
700,3303.5,3344.227778,1343.722222,3671.338889,3725.6,2317.055556,17705.44444
710,3280.266667,3348.994444,1387.3,3691.861111,3774.283333,2301.7,17784.40556
720,3328.416667,3361.538889,1369.611111,3773.894444,3735.288889,2330.177778,17898.92778
730,3221.8,3367.755556,1347.416667,3753.105556,3720.377778,2251.666667,17662.12222
740,3237.616667,3341.522222,1370.638889,3789.55,3787.666667,2290.422222,17817.41667
750,3255.644444,3401.022222,1355.961111,3756.561111,3788.966667,2289.922222,17848.07778
760,3202.055556,3399.544444,1349.422222,3754.661111,3713.405556,2310.344444,17729.43333
770,3366.872222,3392.411111,1335.977778,3767.833333,3705.094444,2322.277778,17890.46667
780,3283.9,3388.372222,1356.627778,3727.277778,3713.027778,2290.888889,17760.09444
790,3385.677778,3437.866667,1370.1,3819.911111,3814.45,2310.15,18138.15556
800,3376.605556,3374.605556,1354.066667,3826.333333,3787.45,2290.322222,18009.38333
810,3308.538889,3404.25,1351.644444,3721.122222,3754.044444,2311.483333,17851.08333
820,3338.305556,3428.805556,1346.6,3741.683333,3772.616667,2316.927778,17944.93889
830,3298.211111,3387.477778,1354.127778,3772.983333,3795.216667,2338.666667,17946.68333
840,3343.983333,3458.311111,1351.683333,3761.905556,3733.683333,2320.433333,17970
850,3441.9,3463.038889,1352.65,3758.488889,3768.194444,2352.211111,18136.48333
860,3382.45,3491.088889,1325.944444,3756.2,3691.411111,2323.716667,17970.81111
870,3448.294444,3499.533333,1344.955556,3786.194444,3790.322222,2331.672222,18200.97222
880,3379.933333,3499.944444,1334.2,3857.411111,3783.372222,2384.6,18239.46111
890,3382.944444,3521.477778,1340.561111,3813.116667,3689.533333,2350.677778,18098.31111
900,3391.3,3554.144444,1349.238889,3721.45,3843.938889,2349.638889,18209.71111
910,3364.761111,3520.577778,1353.677778,3779.35,3791.288889,2374.072222,18183.72778
920,3312.916667,3407.722222,1350.694444,3755.505556,3836.661111,2302.083333,17965.58333
930,3491.088889,3510.205556,1341.761111,3728.227778,3620.344444,2360.533333,18052.16111
940,3371.588889,3468.761111,1299.55,3818.155556,3810.183333,2376.816667,18145.05556
950,3463.655556,3505.677778,1365.855556,3805.727778,3770.133333,2330.033333,18241.08333
960,3455.733333,3510.066667,1328.111111,3655.4,3803.855556,2360.416667,18113.58333
970,3340.572222,3521.211111,1347.722222,3811.155556,3807.583333,2310,18138.24444
980,3400.294444,3489.266667,1345.088889,3749.95,3797.344444,2345.688889,18127.63333
990,3420.877778,3509.266667,1320.45,3785.155556,3712.633333,2380.766667,18129.15
1000,3413.133333,3560.494444,1321.755556,3833.711111,3779.383333,2381.766667,18290.24444
Grand Total,280697.1833,285433.3722,144431.4778,336133.1722,330433.5333,209598.0944,1586726.833
