,Column Labels,,,,,,,,,,,,,,,,,,,
,baseline_never_false,,,,correct200_always_false,,,,correct200_importance50_true,,,,correct200_uncertaintyThreshold30_true,,,,Total Sum of reward,Total Sum of teaching,Total Sum of attention,Total Sum of sumAttention
Row Labels,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,,,,
150,2515.683333,0,0,0,2844.591667,0,0,69846.8,2776.5,0,0,53491.2,2467.005556,9.4,2098.533333,32939.2,10603.78056,9.4,2098.533333,156277.2
160,2462.666667,0,0,0,2759.058333,0,0,69846.8,2742.133333,0,0,53491.2,2506.888889,14.73333333,2559.966667,35499.16667,10470.74722,14.73333333,2559.966667,158837.1667
170,2482.9,0,0,0,2921.808333,0,0,69846.8,2818.066667,0,0,53491.2,2560.383333,14.06666667,2321.1,37820.26667,10783.15833,14.06666667,2321.1,161158.2667
180,2528.758333,0,0,0,2733.95,0,0,69846.8,2894.691667,0,0,53491.2,2559.016667,12.66666667,2259.7,40079.96667,10716.41667,12.66666667,2259.7,163417.9667
190,2502.758333,0,0,0,2972.016667,0,0,69846.8,3000.433333,0,0,53491.2,2538.777778,11.86666667,2307.133333,42387.1,11013.98611,11.86666667,2307.133333,165725.1
200,2468.541667,0,0,0,2909.95,0,0,69846.8,2959.608333,0,0,53491.2,2449.661111,19.4,2528.333333,44915.43333,10787.76111,19.4,2528.333333,168253.4333
210,2524.3,0,0,0,3050.8,0,0,69846.8,2962.316667,0,0,53491.2,2582.15,11.76666667,2372.3,47287.73333,11119.56667,11.76666667,2372.3,170625.7333
220,2562.966667,0,0,0,3087.725,0,0,69846.8,3041,0,0,53491.2,2585.805556,11.13333333,2480.9,49768.63333,11277.49722,11.13333333,2480.9,173106.6333
230,2444.166667,0,0,0,3194.541667,0,0,69846.8,3036.258333,0,0,53491.2,2537.033333,9.166666667,2318.333333,52086.96667,11212,9.166666667,2318.333333,175424.9667
240,2470.791667,0,0,0,3169.766667,0,0,69846.8,3011.858333,0,0,53491.2,2642.1,7.933333333,2444.7,54531.66667,11294.51667,7.933333333,2444.7,177869.6667
250,2486.516667,0,0,0,3010.208333,0,0,69846.8,3071.308333,0,0,53491.2,2617.955556,6.2,2426.3,56957.96667,11185.98889,6.2,2426.3,180295.9667
260,2491.808333,0,0,0,3282.466667,0,0,69846.8,3238.9,0,0,53491.2,2615.2,4.066666667,2363.833333,59321.8,11628.375,4.066666667,2363.833333,182659.8
