trainingEpisodes,reward,teaching,episodeLength,teachingStrategy
960,3726.844444444445,0.0,0.0,10144.166666666666,advise200_always_false
970,3750.1833333333325,0.0,0.0,10365.566666666668,advise200_always_false
980,3710.205555555556,0.0,0.0,10427.233333333334,advise200_always_false
990,3818.127777777778,0.0,0.0,10332.233333333334,advise200_always_false
1000,3772.727777777777,0.0,0.0,10067.133333333333,advise200_always_false
0,2623.5444444444443,0.0,0.0,0.0,baseline_avgCertainty_false
10,2507.766666666667,1000.0,1000.0,9174.066666666668,baseline_avgCertainty_false
20,2508.833333333333,0.0,0.0,8951.533333333333,baseline_avgCertainty_false
30,2518.2166666666667,0.0,0.0,8914.7,baseline_avgCertainty_false
40,2485.333333333334,0.0,0.0,9289.533333333333,baseline_avgCertainty_false
50,2491.0722222222216,0.0,0.0,8885.166666666666,baseline_avgCertainty_false
60,2571.0888888888885,0.0,0.0,8901.0,baseline_avgCertainty_false
70,2607.1833333333334,0.0,0.0,8702.9,baseline_avgCertainty_false
80,2603.094444444445,0.0,0.0,9236.0,baseline_avgCertainty_false
90,2684.3333333333335,0.0,0.0,9354.666666666666,baseline_avgCertainty_false
100,2713.483333333333,0.0,0.0,9054.566666666668,baseline_avgCertainty_false
110,2793.7,0.0,0.0,9303.166666666666,baseline_avgCertainty_false
120,2743.1,0.0,0.0,9588.133333333333,baseline_avgCertainty_false
130,2867.722222222223,0.0,0.0,9340.1,baseline_avgCertainty_false
140,2913.3833333333337,0.0,0.0,9165.433333333332,baseline_avgCertainty_false
150,2912.5,0.0,0.0,9126.866666666667,baseline_avgCertainty_false
160,2936.3055555555557,0.0,0.0,9589.0,baseline_avgCertainty_false
170,2978.4166666666665,0.0,0.0,9188.733333333334,baseline_avgCertainty_false
180,3017.405555555555,0.0,0.0,9587.066666666668,baseline_avgCertainty_false
190,3119.194444444444,0.0,0.0,9966.433333333332,baseline_avgCertainty_false
200,3115.5944444444453,0.0,0.0,9555.533333333333,baseline_avgCertainty_false
210,3164.277777777778,0.0,0.0,10024.066666666668,baseline_avgCertainty_false
220,3156.077777777777,0.0,0.0,9888.6,baseline_avgCertainty_false
230,3148.433333333333,0.0,0.0,9853.833333333334,baseline_avgCertainty_false
240,3284.8555555555567,0.0,0.0,10288.433333333332,baseline_avgCertainty_false
250,3304.0,0.0,0.0,9570.433333333332,baseline_avgCertainty_false
260,3282.7333333333327,0.0,0.0,10111.166666666666,baseline_avgCertainty_false
270,3352.672222222223,0.0,0.0,10251.5,baseline_avgCertainty_false
280,3376.45,0.0,0.0,10244.466666666667,baseline_avgCertainty_false
290,3333.572222222222,0.0,0.0,10009.2,baseline_avgCertainty_false
300,3346.894444444444,0.0,0.0,10351.833333333334,baseline_avgCertainty_false
310,3405.266666666666,0.0,0.0,10374.366666666667,baseline_avgCertainty_false
320,3351.000000000001,0.0,0.0,10263.433333333332,baseline_avgCertainty_false
330,3494.144444444444,0.0,0.0,10618.466666666667,baseline_avgCertainty_false
340,3438.905555555555,0.0,0.0,10544.333333333334,baseline_avgCertainty_false
350,3453.6222222222223,0.0,0.0,10618.166666666666,baseline_avgCertainty_false
360,3556.5833333333335,0.0,0.0,10337.9,baseline_avgCertainty_false
370,3560.9666666666676,0.0,0.0,10501.3,baseline_avgCertainty_false
380,3503.25,0.0,0.0,10476.733333333334,baseline_avgCertainty_false
390,3494.0888888888885,0.0,0.0,10610.4,baseline_avgCertainty_false
400,3564.4666666666667,0.0,0.0,10645.7,baseline_avgCertainty_false
410,3506.5333333333338,0.0,0.0,10453.666666666666,baseline_avgCertainty_false
420,3601.5333333333333,0.0,0.0,10138.0,baseline_avgCertainty_false
430,3637.916666666667,0.0,0.0,10896.3,baseline_avgCertainty_false
440,3524.805555555555,0.0,0.0,10467.7,baseline_avgCertainty_false
450,3660.35,0.0,0.0,10704.166666666666,baseline_avgCertainty_false
460,3677.1277777777777,0.0,0.0,10957.233333333334,baseline_avgCertainty_false
470,3694.461111111111,0.0,0.0,10366.433333333332,baseline_avgCertainty_false
480,3651.5999999999995,0.0,0.0,10442.433333333332,baseline_avgCertainty_false
490,3655.427777777777,0.0,0.0,10399.233333333334,baseline_avgCertainty_false
500,3637.8111111111116,0.0,0.0,10562.466666666667,baseline_avgCertainty_false
510,3684.627777777778,0.0,0.0,9551.933333333332,baseline_avgCertainty_false
520,3770.0611111111116,0.0,0.0,10018.6,baseline_avgCertainty_false
530,3655.2388888888886,0.0,0.0,10780.733333333334,baseline_avgCertainty_false
540,3704.622222222222,0.0,0.0,10514.733333333334,baseline_avgCertainty_false
550,3729.077777777778,0.0,0.0,10168.4,baseline_avgCertainty_false
560,3726.027777777776,0.0,0.0,10312.0,baseline_avgCertainty_false
570,3699.1222222222223,0.0,0.0,9868.7,baseline_avgCertainty_false
580,3774.255555555555,0.0,0.0,10570.733333333334,baseline_avgCertainty_false
590,3724.0111111111114,0.0,0.0,10274.266666666666,baseline_avgCertainty_false
600,3738.383333333334,0.0,0.0,10638.5,baseline_avgCertainty_false
610,3738.377777777778,0.0,0.0,10389.366666666667,baseline_avgCertainty_false
620,3784.161111111111,0.0,0.0,9887.366666666667,baseline_avgCertainty_false
630,3794.238888888889,0.0,0.0,10324.533333333333,baseline_avgCertainty_false
640,3799.8722222222214,0.0,0.0,10586.0,baseline_avgCertainty_false
650,3727.6555555555556,0.0,0.0,10450.933333333332,baseline_avgCertainty_false
660,3676.1888888888884,0.0,0.0,10599.6,baseline_avgCertainty_false
670,3802.2166666666667,0.0,0.0,10810.066666666668,baseline_avgCertainty_false
680,3720.6277777777777,0.0,0.0,10546.433333333332,baseline_avgCertainty_false
690,3760.355555555556,0.0,0.0,10181.266666666666,baseline_avgCertainty_false
700,3753.4388888888884,0.0,0.0,9555.666666666666,baseline_avgCertainty_false
710,3698.0055555555546,0.0,0.0,10584.133333333333,baseline_avgCertainty_false
720,3760.7888888888897,0.0,0.0,10399.966666666667,baseline_avgCertainty_false
730,3813.238888888889,0.0,0.0,10449.2,baseline_avgCertainty_false
740,3797.7555555555546,0.0,0.0,10533.533333333333,baseline_avgCertainty_false
750,3771.377777777778,0.0,0.0,10496.433333333332,baseline_avgCertainty_false
760,3703.4500000000003,0.0,0.0,10683.766666666666,baseline_avgCertainty_false
770,3797.716666666666,0.0,0.0,10570.666666666666,baseline_avgCertainty_false
780,3757.4111111111106,0.0,0.0,10916.433333333332,baseline_avgCertainty_false
790,3820.2444444444436,0.0,0.0,10115.433333333332,baseline_avgCertainty_false
800,3824.4555555555553,0.0,0.0,10654.7,baseline_avgCertainty_false
810,3778.944444444445,0.0,0.0,10534.7,baseline_avgCertainty_false
820,3748.516666666665,0.0,0.0,10837.333333333334,baseline_avgCertainty_false
830,3817.955555555556,0.0,0.0,9997.333333333334,baseline_avgCertainty_false
840,3758.1166666666672,0.0,0.0,10286.3,baseline_avgCertainty_false
850,3792.9944444444436,0.0,0.0,10529.7,baseline_avgCertainty_false
860,3809.388888888889,0.0,0.0,10040.266666666666,baseline_avgCertainty_false
870,3758.988888888889,0.0,0.0,10680.1,baseline_avgCertainty_false
880,3750.5500000000006,0.0,0.0,10451.9,baseline_avgCertainty_false
890,3702.3611111111118,0.0,0.0,10285.766666666666,baseline_avgCertainty_false
900,3808.655555555556,0.0,0.0,10101.4,baseline_avgCertainty_false
910,3786.005555555555,0.0,0.0,10331.133333333333,baseline_avgCertainty_false
920,3752.6666666666665,0.0,0.0,10651.2,baseline_avgCertainty_false
930,3727.9777777777786,0.0,0.0,10288.966666666667,baseline_avgCertainty_false
940,3767.8666666666663,0.0,0.0,10021.233333333334,baseline_avgCertainty_false
950,3775.2055555555557,0.0,0.0,9987.333333333334,baseline_avgCertainty_false
960,3792.2666666666673,0.0,0.0,9807.366666666667,baseline_avgCertainty_false
970,3732.488888888889,0.0,0.0,9742.4,baseline_avgCertainty_false
980,3763.927777777777,0.0,0.0,10095.833333333334,baseline_avgCertainty_false
990,3793.383333333334,0.0,0.0,10343.666666666666,baseline_avgCertainty_false
1000,3781.5,0.0,0.0,10406.6,baseline_avgCertainty_false
0,2662.733333333333,0.0,0.0,0.0,baseline_importance50_false
10,2613.0,1000.0,1000.0,10059.4,baseline_importance50_false
20,2584.272222222222,0.0,0.0,9191.033333333333,baseline_importance50_false
30,2552.688888888889,0.0,0.0,9029.866666666667,baseline_importance50_false
40,2642.1222222222214,0.0,0.0,9202.6,baseline_importance50_false
50,2644.4499999999994,0.0,0.0,9035.1,baseline_importance50_false
60,2653.572222222223,0.0,0.0,9250.9,baseline_importance50_false
70,2674.3944444444446,0.0,0.0,8757.233333333334,baseline_importance50_false
80,2634.9055555555556,0.0,0.0,8884.333333333334,baseline_importance50_false
90,2678.7388888888895,0.0,0.0,8698.133333333333,baseline_importance50_false
100,2702.9,0.0,0.0,9367.666666666666,baseline_importance50_false
110,2623.1,0.0,0.0,9320.333333333334,baseline_importance50_false
120,2682.5888888888885,0.0,0.0,9630.5,baseline_importance50_false
130,2738.011111111111,0.0,0.0,9590.033333333333,baseline_importance50_false
140,2913.8944444444446,0.0,0.0,9704.733333333334,baseline_importance50_false
150,2911.138888888889,0.0,0.0,9809.7,baseline_importance50_false
160,2916.1555555555556,0.0,0.0,10112.4,baseline_importance50_false
170,3055.0888888888885,0.0,0.0,9581.633333333333,baseline_importance50_false
180,3076.883333333333,0.0,0.0,9708.0,baseline_importance50_false
190,3084.472222222222,0.0,0.0,10019.0,baseline_importance50_false
200,3157.788888888888,0.0,0.0,9668.066666666668,baseline_importance50_false
210,3144.6388888888887,0.0,0.0,10388.133333333333,baseline_importance50_false
220,3215.8111111111116,0.0,0.0,10104.466666666667,baseline_importance50_false
230,3218.3722222222223,0.0,0.0,9919.333333333334,baseline_importance50_false
240,3294.2333333333345,0.0,0.0,9855.9,baseline_importance50_false
250,3287.105555555556,0.0,0.0,9536.2,baseline_importance50_false
260,3337.6666666666665,0.0,0.0,10195.366666666667,baseline_importance50_false
270,3412.755555555556,0.0,0.0,10438.266666666666,baseline_importance50_false
280,3372.333333333333,0.0,0.0,10996.333333333334,baseline_importance50_false
290,3506.3777777777777,0.0,0.0,9978.633333333333,baseline_importance50_false
300,3356.161111111111,0.0,0.0,10867.3,baseline_importance50_false
310,3441.6555555555556,0.0,0.0,10916.033333333333,baseline_importance50_false
320,3416.627777777778,0.0,0.0,10256.733333333334,baseline_importance50_false
330,3381.977777777778,0.0,0.0,10357.233333333334,baseline_importance50_false
340,3541.6055555555567,0.0,0.0,10230.866666666667,baseline_importance50_false
350,3475.744444444444,0.0,0.0,10515.766666666666,baseline_importance50_false
360,3495.0666666666666,0.0,0.0,10540.933333333332,baseline_importance50_false
370,3436.911111111111,0.0,0.0,10044.266666666666,baseline_importance50_false
380,3454.5666666666666,0.0,0.0,10489.5,baseline_importance50_false
390,3485.5000000000005,0.0,0.0,10614.5,baseline_importance50_false
400,3589.705555555555,0.0,0.0,11122.133333333333,baseline_importance50_false
410,3547.3888888888887,0.0,0.0,9966.133333333333,baseline_importance50_false
420,3552.1611111111115,0.0,0.0,10788.666666666666,baseline_importance50_false
430,3600.7444444444436,0.0,0.0,10167.233333333334,baseline_importance50_false
440,3573.555555555556,0.0,0.0,10496.933333333332,baseline_importance50_false
450,3705.8222222222216,0.0,0.0,10351.433333333332,baseline_importance50_false
460,3619.427777777777,0.0,0.0,10806.066666666668,baseline_importance50_false
470,3638.7833333333338,0.0,0.0,10424.533333333333,baseline_importance50_false
480,3623.1722222222224,0.0,0.0,10879.6,baseline_importance50_false
490,3626.3888888888896,0.0,0.0,10726.3,baseline_importance50_false
